Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
1,,Dunzo,4122010470,0,01/07/2022,444.00,,The laughing cow ,220.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,2,110.0,Cash
2,,Dunzo,4122010470,0,01/07/2022,444.00,,3073781105643,99.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,99.0,Cash
3,,Dunzo,4122010470,0,01/07/2022,444.00,19059020,Oreo biscuit,105.94,9.0%,9.53,9.0%,9.53,-,-,-,-,-,-,27,PC,1,125.0,Cash
4,,Dunzo,4122010471,0,01/07/2022,115.00,1701,24Mantra Organic Jaggery 500 G,76.20,2.5%,1.90,2.5%,1.90,-,-,-,-,-,-,27,PC,1,80.0,Cash
5,,Dunzo,4122010471,0,01/07/2022,115.00,,Tomato,35.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,35.0,Cash
6,,Dunzo,4122010472,0,01/07/2022,307.00,2106,Venkys Chicken Nuggets 300G,183.04,6.0%,10.98,6.0%,10.98,-,-,-,-,-,-,27,PC,1,205.0,Cash
7,,Dunzo,4122010472,0,01/07/2022,307.00,0406,Milky Mist Cheese Slices 200 Gms,102.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,102.0,Cash
8,,Dunzo,4122010473,0,01/07/2022,395.00,,Rosta Roasted & salted Cashews 170gm,352.68,6.0%,21.16,6.0%,21.16,-,-,-,-,-,-,27,PC,1,395.0,Cash
9,,,4122010474,0,01/07/2022,75.00,,Dough Magic Pizza Base 8 Inch,55.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,55.0,Cash
10,,,4122010474,0,01/07/2022,75.00,,Shreenath Basil Italian  ,20.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,20.0,Cash
11,,,4122010475,0,01/07/2022,150.00,69099,SPT Soya Chaap 500 Gm,142.86,2.5%,3.57,2.5%,3.57,-,-,-,-,-,-,27,PC,1,150.0,Cash
12,,,4122010476,0,01/07/2022,409.00,,M R Makhana Himalayan Pink Salt,107.16,6.0%,6.42,6.0%,6.42,-,-,-,-,-,-,27,PC,1,120.0,Cash
13,,,4122010476,0,01/07/2022,409.00,,mr makhana piri piri,116.08,6.0%,6.96,6.0%,6.96,-,-,-,-,-,-,27,PC,1,130.0,Cash
14,,,4122010476,0,01/07/2022,409.00,,Happy Carma Flax Seeds,151.44,2.5%,3.78,2.5%,3.78,-,-,-,-,-,-,27,PC,1,159.0,Cash
15,,,4122010477,0,01/07/2022,20.00,22029030,paper boat drinks and memories apple 200 ml,17.86,6.0%,1.07,6.0%,1.07,-,-,-,-,-,-,27,PC,1,20.0,Cash
16,,,4122010478,0,01/07/2022,380.00,08132000,Rostaa Californian Prunes 227 gm,339.30,6.0%,20.35,6.0%,20.35,-,-,-,-,-,-,27,PC,1,380.0,Cash
17,,,4122010479,0,01/07/2022,20.00,20098910,aam panna,17.86,6.0%,1.07,6.0%,1.07,-,-,-,-,-,-,27,PC,1,20.0,Cash
